Country Name,Population,Official Name
Albania,"2,877,808",Republic of Albania
Andorra,"77,276",Principality of Andorra
Austria,"9,006,409",Republic of Austria
Belarus,"9,449,334",Republic of Belarus
Belgium,"11,589,634",Kingdom of Belgium
Bosnia and Herzegovina,"3,280,830",Bosnia and Herzegovina
Bulgaria,"6,948,456",Republic of Bulgaria
Croatia,"4,105,278",Republic of Croatia
Czech Republic,"10,708,992",Czech Republic
Denmark,"5,792,213",Kingdom of Denmark
Estonia,"1,326,546",Republic of Estonia
Finland,"5,540,731",Republic of Finland
France,"65,273,522",French Republic
Germany,"83,783,953",Federal Republic of Germany
Greece,"10,423,065",Hellenic Republic
Holy See,812,Holy See
Hungary,"9,660,362",Hungary
Iceland,"341,254",Republic of Iceland
Ireland,"4,937,797",Ireland
Italy,"60,461,837",Republic of Italy
Latvia,"1,886,209",Republic of Latvia
Liechtenstein,"38,139",Liechtenstein
Lithuania,"2,722,300",Republic of Lithuania
Luxembourg,"625,989",Grand Duchy of Luxembourg
Malta,"441,554",Republic of Malta
Moldova,"4,033,974",Republic of Moldova
Monaco,"39,253",Principality of Monaco
Montenegro,"628,077",Montenegro
Netherlands,"17,134,883",Kingdom of the Netherlands
North Macedonia,"2,022,558",Republic of North Macedonia
Norway,"5,421,252",Kingdom of Norway
Poland,"37,846,622",Republic of Poland
Portugal,"10,196,720",Portuguese Republic
Romania,"19,237,702",Romania
Russia,"145,934,473",Russian Federation
San Marino,"33,942",Republic of San Marino
Serbia,"8,737,382",Republic of Serbia
Slovakia,"5,459,653",Slovak Republic
Slovenia,"2,078,949",Republic of Slovenia
Spain,"46,754,789",Kingdom of Spain
Sweden,"10,099,276",Kingdom of Sweden
Switzerland,"8,654,633",Swiss Confederation
Turkey,"84,339,078",Republic of Turkey
Ukraine,"43,733,773",Ukraine
United Kingdom,"67,886,022",United Kingdom of Great Britain and Northern Ireland
